No,Nama obat,Kandungan obat,Kegunaan obat,Dosis,Efek
1,Bintamox 500mg,Tiap kaplet mengandung Amoxicilin Trihydrate setara dengan Amoxicilin Anhydrate 500 mg,"Mengobati infeksi telinga tengah, radang tenggorokan, infeksi saluran pernafasan atas, infeksi saluran kemih, saluran cerna, kulit dan jaringan lunak.","Dewasa dan anak – anak dengan berat badan > 20kg : 250 – 500 mg tiap 8 jam. Anak – anak dengan berat badan < 20 kg : 20 – 40 mg/kg BB sehari dalam dosis terbagi tiap 8 jam . Untuk penderita dengan ganggu ginjal, perlu dilakukan pengurangan dosis. Pada penderita yang menerima dialisa peritoneal, dosis maksimum yang dianjurkan 500 mg/hari. Gonokokus uretritis : 3 g amoxicilin sebagai dosis tunggal. Anak – anak lebih dari 8 kg sebaiknya diberikan sediaan sirup kering.","Reaksi kepekaan seperti erthematosus maculopapular rashes, urtikaria, serum sickness. Reaksi kepekaan yang serius dan fatal adalah anafilksis terutama terjadi pada penderita yang hipersensitif terhadap penisilin. Gangguan saluran pencernaan seperti mual, muntah, diare.Reaksi – reaksi hematological (biasanya bersifat reversible)"
2,diabextrac,"Tiap kapsul mengandung Ekstrak daun mimba 100 mg, sambiloto 100 mg, daun sendokan 100 mg, daun sambung nyawa 50 mg, daun dewa 50 mg, daun tempuyung 50 mg, dan daun tapak liman 50 mg","digunakan untuk mengontrol kadar gula dalam darah. gejala buang air kecil terus-menerus, tubuh lemas, tangan dan kaki kesemutan","diminum sebelum makan malam, diminum 3kali sehari. Untuk aam lambung diminum 1 jam sebelum makan",
3,Amoxicilin,Tiap kaplet mengandung Amoxicillin Thrihydrate setara dengan Amoxicillin 500mg,"Infeksi yang disebabkan oleh strain – strain bakteri yang peka antara lain :  infeksi kulit dan jaringan lunak : Stafilokokus bukan penghasil penisilinase, Streptokokus, E. coli. Infeksi saluran pernafasan : H. Influenzae, Streptokokus, Strep. Pneumoniae, Stafilokokus bukan penghasil penisilinase, E. coli. Infeksi saluran genitourinari : E. coli, P. mirabilis dan Strep faecalis Gonore : N, Gonorrhoae (bukan penghasil penisilinase)","Dewasa dan anak – anak dengan berat badan > 20kg : 250 – 500 mg tiap 8 jam. Anak – anak dengan berat badan < 20 kg : 20 – 40 mg/kg BB sehari dalam dosis terbagi tiap 8 jam . Untuk penderita dengan ganggu ginjal, perlu dilakukan pengurangan dosis. Pada penderita yang menerima dialisa peritoneal, dosis maksimum yang dianjurkan 500 mg/hari. Gonokokus uretritis : 3 g amoxicilin sebagai dosis tunggal. Anak – anak lebih dari 8 kg sebaiknya diberikan sediaan sirup kering.","Reaksi kepekaan seperti erthematosus maculopapular rashes, urtikaria, serum sickness. Reaksi kepekaan yang serius dan fatal adalah anafilksis terutama terjadi pada penderita yang hipersensitif terhadap penisilin. Gangguan saluran pencernaan seperti mual, muntah, diare.Reaksi – reaksi hematological (biasanya bersifat reversible)"
4,topcilin,Tiap kaplet mengandung Amoxicillin Trihydrate setara dengan Amoxicillin Anhydrate  500 mg. Tiap 5mL sirup kering mengandung Amoxicillin Trihydrate setara dengan Amoxicillin Anhydrate  125 mg. Tiap 5mL sirup kering mengandung Amoxicillin Trihydrate setara dengan Amoxicillin Anhydrate  250 mg,"Meringankan rasa sakit pada keadaan sakit kepala, sakit gigi dan menurunkan demam.",Dewasa : 1-2 tahun kaplet 3-4 x sehari. Anak – anak : 6 – 12 tahun ½ - 1 kaplet 3 – 4 x sehari.,Penggunaan jangka lama dan dosis besar dapat menyebabkan kerusakan hati. Reaksi hipersensitif terhadap obat ini.
5,Paracetamol,Paracetamol 500 g,"Meringankan rasa sakit pada keadaan sakit kepala, sakit gigi dan menurunkan demam.",Dewasa : 1-2 tahun kaplet 3-4 x sehari. Anak – anak : 6 – 12 tahun ½ - 1 kaplet 3 – 4 x sehari.,Penggunaan jangka lama dan dosis besr dapat menyebabkan kerusakan hati. Reaksi hipersensitif terhadap obat ini.
6,Demacolin,"Tiap sendok takar ( 5 ml) sirup mengandung : Paracetemol 120 mg Pseudoephedrine HCl 7,5 mg Chloprheniramine maleate 1 mg","Infeksi yang disebabkan oleh strain – strain bakteri yang peka antara lain : Infeksi kulit dan jaringan lunak : Stafilokokus bukan penghasil penisilinase, Streptokokus, E. coli . Infeksi saluran pernafasan : H. Influenzae, Streptokokus, Strep. Pneumoniae, Stafilokokus bukan penghasil penisilinase, E. coli. Infeksi saluran genitourinari : E. coli, P. mirabilis dan Strep faecalis Gonore : N, Gonorrhoae (bukan penghasil penisilinase)","Dewasa dan anak – anak dengan berat badan > 20kg : 250 – 500 mg tiap 8 jam. Anak – anak dengan berat badan < 20 kg : 20 – 40 mg/kg BB sehari dalam dosis terbagi tiap 8 jam. Untuk penderita dengan ganggu ginjal, perlu dilakukan pengurangan dosis. Pada penderita yang menerima dialisa peritoneal, dosis maksimum yang dianjurkan 500 mg/hari. 
Gonokokus uretritis : 3 g amoxicilin sebagai dosis tunggal. Anak – anak lebih dari 8 kg sebaiknya diberikan sediaan sirup kering.","Reaksi kepekaan seperti erthematosus maculopapular rashes, urtikaria, serum sickness. Reaksi kepekaan yang serius dan fatal adalah anafilksis terutama terjadi pada penderita yang hipersensitif terhadap penisilin. Gangguan saluran pencernaan seperti mual, muntah, diare. Reaksi – reaksi hematological (biasanya bersifat reversible)"
7,Bronchitin,"Tiap 5 ml sirup mengandung : Paracetamol 120 mg Guanlfenesin 100 mg Phenylephrine 2,5 mg","Unutk sementara untuk meredakan gejala demam, hidung tersumbat, dan batuk berdahak.","Anak 6 – 12 tahun : 5 ml tiap 6 – 8 jam, maksimal 4 dosis dalam 24 jam . Anak mempunyai BB 15 – 30 kg : 5 ml tiap 6 – 8 jam, maksimal 4 dosis dalam 24 jam.","Mengantuk, jantung berdebar, mulut kering. Mual, muntah, nyeri kepala, gatal-gatal di kulit. Penggunaan paracetamol dosis besar dan jangka panjang dapat menyebabkan kerusakan hati."
8,Zemoxil,Tiap 5 ml sirup mengandung : Amoxicillin trihydrate yang setara dengan Amoxicillin 125 mg,"Infeksi yang disebabkan oleh strain – strain bakteri yang peka antara lain : Infeksi kulit dan jaringan lunak : Stafilokokus bukan penghasil penisilinase, Streptokokus, E. coli. Infeksi saluran pernafasan : H. Influenzae, Streptokokus, Strep. Pneumoniae, Stafilokokus bukan penghasil penisilinase, E. coli. Infeksi saluran genitourinari : E. coli, P. mirabilis dan Strep faecalis Gonore : N, Gonorrhoae (bukan penghasil penisilinase)","Dewasa dan anak – anak dengan berat badan > 20kg : 250 – 500 mg tiap 8 jam. Anak – anak dengan berat badan < 20 kg : 20 – 40 mg/kg BB sehari dalam dosis terbagi tiap 8 jam. Untuk penderita dengan ganggu ginjal, perlu dilakukan pengurangan dosis. Pada penderita yang menerima dialisa peritoneal, dosis maksimum yang dianjurkan 500 mg/hari. Gonokokus uretritis : 3 g amoxicilin sebagai dosis tunggal. Anak – anak lebih dari 8 kg sebaiknya diberikan sediaan sirup kering.","Reaksi kepekaan seperti erthematosus maculopapular rashes, urtikaria, serum sickness.Reaksi kepekaan yang serius dan fatal adalah anafilksis terutama terjadi pada penderita yang hipersensitif terhadap penisilin. Gangguan saluran pencernaan seperti mual, muntah, diare. Reaksi – reaksi hematological (biasanya bersifat reversible)"
9,Bufakris syrup,"Tiap sendok takar ( 5  mL) mengandung : Theophylline Anhydrat 43,33 mg Ephedrine HCl 4,17 mg",Untuk meringankan dan mengatasi serangan asma bronkial.,"Dewasa : 3 kali sehari 3 sendok takar ( 15 mL). Anak – anak 6 – 12 tahun : 3 kali sehari 1 ½ sendok takar ( 7,5 Ml)","Gasttrointestinal, misal : mual, muntah, diare. Sumsum saraf pusat misal : sakit kepala, insomnia. Kardiovaskuler, misal : palpitasi takikardi, aritmia ventikuler. Pernafasan, misalnya : fachypnea. Rash, hiperglikemi."
10,Neo Kaominal,Tiap 15 Ml ( 3 sendok takar ) suspensi mengandung : Kaolin 700 mg Pectin 66 mg,Untuk pengobatan simtomatik pada diare dimana tidak diketahiu penyebabnya dengan jelas,"6 – 12 tahu : 3 sendok takr ( 15 mL) setiap setelah buang air besar. Maksimum penggunaan 18 sendok takar ( 90 mL) dalam 24 jam. 12 tahun katas dan dewasa : 6 sendok takar ( 10 mL), setiap setelah buang air besar. Maksimum penggunan 36 sendok takar ( 180 mL) dalam 24 jam.",Konstipasi yang bersifat sementara.
11,Vosea Syrup,Tiap 5 mL sirup mengandung  : Metoclopramide HCl 5 mg,"Untuk sementara meredakan gejala demam, hidung tersumbat, dan batuk berdahak",Anak 6- 12 tahun : 5 mL tiap 6 – 8 jam maksimal 4 dosis dalam 24 jam . Anak 15 – 30 BB : 5 mL tiap 6 – 8 jam maksimal 4 dosis dalam 24 jam,"Gelisah, rasa kantuk, lelah, kurang bertenaga, mual, muntah, sakit kepala, kejang, sulit tidur (insomnia)"
12,Vialop,Tiap tablet salit selaput mengandung : Loperamide HCl 2 mg,Diare akut yang tidak diketahui penyebabnya dan diare kronik,"Diare akut ( non spesifik) dosis awal : 4 mg, diikuti 2 mg setiap selesai buang air besar. Dosis tidak boleh melebihi 16 mg sehari. Diare kronik. Dosis awal : 4 mg, diikuti 2 mg setiap slesai buang besar. Dosis tidak boleh melebihi 16 mg sehari. Pemberian harus diberhentikan apabila tidak ada perbaikan setelah 48 jam.","Flatulen, konstipasi, mual, muntal, nyeri abdomen. Reaksi hipersensitif termasuk kemerahan pada kulit. Letih, mengantuk, pusing, mengacolon toksik."
13,Loratadine,Tiap talet Loratadine mengandung Loratadine 10 mg,"Mengurangi gejala – gejalayang berkaitan ddengan rhinitis alergik, seperti bersin – bersin, pilek dan rasa gatal pada hidung, rasa gatal dan terbakar pada mata. Juga mengurangu gejala – gejala dengan tanda – tanda urtikaria kronik serta penyakit dermatologik alergi lain.","Usia lanjut, dewasa, anak usia 12 tahun atau lebih : 1 tablet ( 10 mg ) sehari.  Anak usia 2 – 12 tahun : BB lebih dari 30 kg : 10 mg sehari. BB kurang dari sama dengan 30 kg : 5 mg sehari. Khasiat dan keamanan penggunaan pada anak – anak usia dibawah 2 tahun belum terbukti.","Loratadine tidak memperlihatkan efek sedatif yang secara klinis bermakna pada pemberian dosis 10 mg sehari. Efek samping yang dilaporkan antara lain : lelah, sakit kepala, somnolensi, mulut kering, gangguan pencernaan, nausea, grastritis, dan gejala alergi yang menyerupai ruam. Pernah dilaporkan terjadinya alopecia, anafilaksis, dunsi hati abnormal dantakiaritmia supraventricular walaupun jarang terjadi."
